book	chapter	verse	sort	greek	strong	ult	pnc
PHP	1	1	1	Παῦλος	G39720	Paul	pnc
PHP	1	1	2	δοῦλος	G14010	a-servant	pnc
PHP	1	1	3	Θεοῦ	G23160	of-God	pnc
PHP	1	1	4	δὲ	G11610	and	pnc
PHP	1	1	5	ἀπόστολος	G06520	an-apostle	pnc
PHP	1	1	6	Ἰησοῦ	G24240	of-Jesus	pnc
PHP	1	1	7	Χριστοῦ	G55470	Christ	pnc
PHP	1	1	8	κατὰ	G25960	for	pnc
PHP	1	1	9	πίστιν	G41020	the-faith	pnc
PHP	1	1	10	ἐκλεκτῶν	G15880	of	pnc
PHP	1	1	11	ἐκλεκτῶν	G15880	the-chosen-people	pnc
PHP	1	1	12	Θεοῦ	G23160	of-God	pnc
PHP	1	1	13	καὶ	G25320	and	pnc
PHP	1	1	14	ἐπίγνωσιν	G19220	knowledge	pnc
PHP	1	1	15	ἀληθείας	G02250	of	pnc
PHP	1	1	16	ἀληθείας	G02250	the-truth	pnc
PHP	1	1	17	τῆς	G35880	that	pnc
PHP	1	1	18	κατ’	G25960	agrees-with	pnc
PHP	1	1	19	εὐσέβειαν	G21500	godliness	pnc
PHP	1	2	20	ἐπ’	G19090	with	pnc
PHP	1	2	21	ἐλπίδι	G16800	the-certain-hope	pnc
PHP	1	2	22	ζωῆς	G22220	of	pnc
PHP	1	2	23	αἰωνίου	G01660	eternal	pnc
PHP	1	2	24	ζωῆς	G22220	life	pnc
PHP	1	2	25	ἣν	G37390	that	pnc
PHP	1	2	26	ὁ	G35880	the	pnc
PHP	1	2	27	ἀψευδὴς	G08930	non---lying	pnc
PHP	1	2	28	Θεὸς	G23160	God	pnc
PHP	1	2	29	ἐπηγγείλατο	G18610	promised	pnc
PHP	1	2	30	πρὸ	G42530	before	pnc
PHP	1	2	31	αἰωνίων	G01660	all-the-ages	pnc
PHP	1	2	32	χρόνων	G55500	of-time	pnc
PHP	1	3	33	δὲ	G11610	But	pnc
PHP	1	3	34	καιροῖς	G25400	at	pnc
PHP	1	3	35	καιροῖς	G25400	the	pnc
PHP	1	3	36	ἰδίοις	G23980	right	pnc
PHP	1	3	37	καιροῖς	G25400	time	pnc
PHP	1	3	38	ἐφανέρωσεν	G53190	he-revealed	pnc
PHP	1	3	39	αὐτοῦ	G08460	his	pnc
PHP	1	3	40	τὸν	G35880	vvv	pnc
PHP	1	3	41	λόγον	G30560	word	pnc
PHP	1	3	42	ἐν	G17220	by	pnc
PHP	1	3	43	κηρύγματι	G27820	the-proclamation	pnc
PHP	1	3	44	ὃ	G37390	the-one	pnc
PHP	1	3	45	ἐγὼ	G14730	I	pnc
PHP	1	3	46	ἐπιστεύθην	G41000	was-entrusted-with	pnc
PHP	1	3	47	κατ’	G25960	by	pnc
PHP	1	3	48	ἐπιταγὴν	G20030	the-command	pnc
PHP	1	3	49	τοῦ	G35880	vvv	pnc
PHP	1	3	50	Σωτῆρος	G49900	of	pnc
PHP	1	3	51	Θεοῦ	G23160	God	pnc
PHP	1	3	52	ἡμῶν	G14730	our	pnc
PHP	1	3	53	τοῦ	G35880	vvv	pnc
PHP	1	3	54	Σωτῆρος	G49900	Savior	pnc
